state_code,date,cases,mask_usage
AK,09/08/2020,35,78.7128713
AK,09/09/2020,63,79.4372294
AK,09/10/2020,124,78.09917359999999
AK,09/11/2020,93,79.8507463
AK,09/12/2020,103,79.5454545
AK,09/13/2020,62,80.01383129999998
AK,09/14/2020,75,80.1531213
AK,09/15/2020,42,80.3775744
AK,09/16/2020,49,80.39568349999998
AK,09/17/2020,105,80.9375
AK,09/18/2020,109,80.6633292
AK,09/19/2020,85,81.1528497
AK,09/20/2020,93,80.30104709999998
AK,09/21/2020,70,80.4200542
AK,09/22/2020,44,79.8455056
AK,09/23/2020,54,79.5988935
AK,09/24/2020,128,80.0680272
AK,09/25/2020,122,79.46794
AK,09/26/2020,113,79.4036061
AK,09/27/2020,114,79.6787709
AK,09/28/2020,116,79.1310541
AK,09/29/2020,124,79.5903955
AK,09/30/2020,103,79.8984035
AK,10/01/2020,124,79.717682
AK,10/02/2020,126,79.68277950000002
AK,10/03/2020,143,79.5487627
AK,10/04/2020,188,79.2159763
AK,10/05/2020,208,80.8615819
AK,10/06/2020,139,81.8245125
AK,10/07/2020,126,82.3026316
AK,10/08/2020,127,82.1750322
AK,10/09/2020,177,81.69642859999998
AK,10/10/2020,249,81.82406209999998
AK,10/11/2020,255,83.0779055
AK,10/12/2020,191,82.4183007
AK,10/13/2020,151,82.0355191
AK,10/14/2020,143,80.7692308
AK,10/15/2020,152,81.6713483
AK,10/16/2020,226,82.7809798
AK,10/17/2020,211,82.67326729999998
AK,10/18/2020,220,83.0496454
AK,10/19/2020,202,83.21529749999998
AK,10/20/2020,211,82.59362
AK,10/21/2020,212,83.1690141
AK,10/22/2020,232,82.66187049999998
AK,10/23/2020,281,82.1527778
AK,10/24/2020,371,82.2740113
AK,10/25/2020,523,81.0672515
AK,10/26/2020,348,81.29548759999999
AK,10/27/2020,382,82.03363909999999
AK,10/28/2020,355,83.04140129999998
AK,10/29/2020,359,83.22422259999998
AK,10/30/2020,381,84.430605
AK,10/31/2020,437,84.7593583
AK,11/01/2020,348,84.6774194
AK,11/02/2020,350,83.95390069999998
AK,11/03/2020,388,84.1337907
AK,11/04/2020,404,83.82624770000002
AK,11/05/2020,308,84.0361446
AK,11/06/2020,525,82.9807692
AK,11/07/2020,601,83.4429825
AK,11/08/2020,518,83.69047619999998
AK,11/09/2020,471,85.0
AK,11/10/2020,525,84.6604215
AK,11/11/2020,495,85.5577689
AK,11/12/2020,481,86.4888124
AK,11/13/2020,587,87.38095240000001
AK,11/14/2020,739,86.26220359999998
AK,11/15/2020,648,87.33421750000002
AK,11/16/2020,578,87.99237609999999
AK,11/17/2020,634,88.8392857
AK,11/18/2020,545,88.3995037
AK,11/19/2020,490,88.33543509999998
AK,11/20/2020,460,87.78481009999999
AK,11/21/2020,675,88.6476427
AK,11/22/2020,543,88.5159011
AK,11/23/2020,498,87.86295009999998
AK,11/24/2020,584,88.4253819
AK,11/25/2020,670,89.13301659999998
AK,11/26/2020,553,89.3152302
AK,11/27/2020,662,89.4578313
AK,11/28/2020,650,89.6530359
AK,11/29/2020,612,90.1820546
AK,11/30/2020,507,90.6992084
AK,12/01/2020,511,89.2904074
AK,12/02/2020,697,88.496144
AK,12/03/2020,760,88.701623
AK,12/04/2020,750,89.4303797
AK,12/05/2020,922,89.231738
AK,12/06/2020,757,88.10110970000002
AK,12/07/2020,476,88.1875
AL,09/08/2020,2,87.87451340000001
AL,09/09/2020,811,84.72660040000002
AL,09/10/2020,1148,85.5213965
AL,09/11/2020,1138,85.2470642
AL,09/12/2020,943,85.0111563
AL,09/13/2020,1109,84.7271577
AL,09/14/2020,704,84.6446717
AL,09/15/2020,701,84.00529399999998
AL,09/16/2020,927,84.4386175
AL,09/17/2020,670,84.13387270000003
AL,09/18/2020,1106,83.9959314
AL,09/19/2020,1301,83.81953100000001
AL,09/20/2020,798,84.04943730000002
AL,09/21/2020,818,84.0259366
AL,09/22/2020,804,84.18832940000001
AL,09/23/2020,569,84.29625820000003
AL,09/24/2020,1053,83.9339968
AL,09/25/2020,2452,83.4008735
AL,09/26/2020,933,83.52718420000002
AL,09/27/2020,730,83.146135
AL,09/28/2020,662,83.1406786
AL,09/29/2020,571,83.01024140000001
AL,09/30/2020,1147,82.4513188
AL,10/01/2020,1043,82.3184952
AL,10/02/2020,954,82.9454058
AL,10/03/2020,1682,83.4893226
AL,10/04/2020,789,83.7148172
AL,10/05/2020,544,83.4604882
AL,10/06/2020,764,83.1798448
AL,10/07/2020,941,83.13862280000002
AL,10/08/2020,557,83.34307199999998
AL,10/09/2020,1490,83.64341879999998
AL,10/10/2020,1061,82.8547609
AL,10/11/2020,816,83.0250498
AL,10/12/2020,734,83.1165676
AL,10/13/2020,1117,83.6075731
AL,10/14/2020,784,83.8133886
AL,10/15/2020,1185,83.3580556
AL,10/16/2020,1212,83.4144955
AL,10/17/2020,1288,83.6838866
AL,10/18/2020,964,83.28438670000001
AL,10/19/2020,859,83.058814
AL,10/20/2020,1043,82.6549046
AL,10/21/2020,1146,82.25577779999998
AL,10/22/2020,1390,82.58496579999998
AL,10/23/2020,3852,81.9206631
AL,10/24/2020,2360,81.49226230000002
AL,10/25/2020,1079,81.62663559999999
AL,10/26/2020,967,81.8396012
AL,10/27/2020,1115,82.10106009999998
AL,10/28/2020,1269,82.4548121
AL,10/29/2020,1443,82.73819559999998
AL,10/30/2020,1347,83.2781463
AL,10/31/2020,1789,83.70933620000002
AL,11/01/2020,1700,83.1923686
AL,11/02/2020,907,82.85655229999998
AL,11/03/2020,1037,82.56570909999998
AL,11/04/2020,1848,82.23468249999998
AL,11/05/2020,1381,82.1640518
AL,11/06/2020,1556,81.80714959999997
AL,11/07/2020,1768,81.2562816
AL,11/08/2020,1205,80.5821603
AL,11/09/2020,1170,80.41770229999999
AL,11/10/2020,1710,80.6813932
AL,11/11/2020,2070,81.29879140000001
AL,11/12/2020,2000,81.71009959999998
AL,11/13/2020,2980,82.06851590000002
AL,11/14/2020,2226,82.46330920000003
AL,11/15/2020,1979,83.37532370000002
AL,11/16/2020,1410,83.8960059
AL,11/17/2020,1616,84.4022915
AL,11/18/2020,2638,84.79986170000002
AL,11/19/2020,2424,85.45907220000002
AL,11/20/2020,2463,85.6737205
AL,11/21/2020,2335,86.5773984
AL,11/22/2020,1798,86.7983049
AL,11/23/2020,1574,86.8615645
AL,11/24/2020,2785,87.0203786
AL,11/25/2020,2453,87.2881373
AL,11/26/2020,2639,87.3246098
AL,11/27/2020,917,86.99778149999999
AL,11/28/2020,2119,86.1163558
AL,11/29/2020,2236,85.8667588
AL,11/30/2020,2295,86.15839229999997
AL,12/01/2020,3376,86.3403551
AL,12/02/2020,3928,86.24071359999998
AL,12/03/2020,3531,85.9734868
AL,12/04/2020,3840,86.4240425
AL,12/05/2020,3390,86.5726355
AL,12/06/2020,2288,87.16107530000002
AL,12/07/2020,2352,87.556273
AR,09/08/2020,477,84.8017448
AR,09/09/2020,498,83.89969520000002
AR,09/10/2020,548,84.59724440000002
AR,09/11/2020,1180,84.1634615
AR,09/12/2020,727,84.3618324
AR,09/13/2020,509,84.8968686
AR,09/14/2020,408,85.2962239
AR,09/15/2020,730,84.9007064
AR,09/16/2020,862,85.5580307
AR,09/17/2020,992,85.4513946
AR,09/18/2020,871,85.8069543
AR,09/19/2020,1078,85.7700096
AR,09/20/2020,563,85.63502240000003
AR,09/21/2020,641,85.0807922
AR,09/22/2020,617,85.4201757
AR,09/23/2020,982,84.372907
AR,09/24/2020,1086,84.0930554
AR,09/25/2020,897,83.8069101
AR,09/26/2020,809,83.9458944
AR,09/27/2020,487,83.78299670000001
AR,09/28/2020,807,83.6908565
AR,09/29/2020,706,83.8042987
AR,09/30/2020,942,84.2645474
AR,10/01/2020,1124,84.2348959
AR,10/02/2020,958,84.5784599
AR,10/03/2020,746,84.7891474
AR,10/04/2020,488,84.6033309
AR,10/05/2020,417,84.7229382
AR,10/06/2020,641,84.47996540000003
AR,10/07/2020,809,84.1052804
AR,10/08/2020,1265,84.6505126
AR,10/09/2020,1167,84.0916953
AR,10/10/2020,908,84.1223003
AR,10/11/2020,613,84.48259759999998
AR,10/12/2020,654,84.74922149999998
AR,10/13/2020,680,84.8965514
AR,10/14/2020,1079,85.31385809999998
AR,10/15/2020,1278,85.3498179
AR,10/16/2020,1015,85.756163
AR,10/17/2020,883,85.3188963
AR,10/18/2020,644,85.5896374
AR,10/19/2020,531,85.50099709999998
AR,10/20/2020,844,85.56562679999998
AR,10/21/2020,1155,86.1398057
AR,10/22/2020,1202,85.2528256
AR,10/23/2020,1337,85.389893
AR,10/24/2020,1183,85.2785344
AR,10/25/2020,797,84.6348012
AR,10/26/2020,612,84.83090329999997
AR,10/27/2020,952,85.0990467
AR,10/28/2020,961,85.1606686
AR,10/29/2020,1072,86.4016519
AR,10/30/2020,1162,87.0021449
AR,10/31/2020,1316,87.1201596
AR,11/01/2020,867,87.0965035
AR,11/02/2020,584,86.77051479999999
AR,11/03/2020,520,85.6007793
AR,11/04/2020,1651,84.8634058
AR,11/05/2020,1548,84.2245942
AR,11/06/2020,1870,83.93607740000002
AR,11/07/2020,1598,84.0466916
AR,11/08/2020,1038,84.02751049999998
AR,11/09/2020,945,83.5163553
AR,11/10/2020,1424,85.0667538
AR,11/11/2020,1962,85.1319135
AR,11/12/2020,1809,85.3062595
AR,11/13/2020,2312,86.13651440000002
AR,11/14/2020,1848,86.6830236
AR,11/15/2020,874,86.9354178
AR,11/16/2020,1308,87.58197259999999
AR,11/17/2020,1554,88.2641455
AR,11/18/2020,1715,88.74542109999999
AR,11/19/2020,2238,89.5212833
AR,11/20/2020,2061,89.0807987
AR,11/21/2020,1905,89.1516315
AR,11/22/2020,1352,89.71732490000002
AR,11/23/2020,1017,89.7884375
AR,11/24/2020,2122,89.05694809999999
AR,11/25/2020,1965,89.3022189
