date,state,cases
01/22/2020,CO,0
01/23/2020,CO,0
01/24/2020,CO,0
01/25/2020,CO,0
01/26/2020,CO,0
01/27/2020,CO,0
01/28/2020,CO,0
01/29/2020,CO,0
01/30/2020,CO,0
01/31/2020,CO,0
02/01/2020,CO,0
02/02/2020,CO,0
02/03/2020,CO,0
02/04/2020,CO,0
02/05/2020,CO,0
02/06/2020,CO,0
02/07/2020,CO,0
02/08/2020,CO,0
02/09/2020,CO,0
02/10/2020,CO,0
02/11/2020,CO,0
02/12/2020,CO,0
02/13/2020,CO,0
02/14/2020,CO,0
02/15/2020,CO,0
02/16/2020,CO,0
02/17/2020,CO,0
02/18/2020,CO,0
02/19/2020,CO,0
02/20/2020,CO,0
02/21/2020,CO,0
02/22/2020,CO,0
02/23/2020,CO,0
02/24/2020,CO,0
02/25/2020,CO,0
02/26/2020,CO,0
02/27/2020,CO,0
02/28/2020,CO,0
02/29/2020,CO,0
03/01/2020,CO,0
03/02/2020,CO,0
03/03/2020,CO,0
03/04/2020,CO,0
03/05/2020,CO,1
03/06/2020,CO,1
03/07/2020,CO,6
03/08/2020,CO,0
03/09/2020,CO,4
03/10/2020,CO,5
03/11/2020,CO,17
03/12/2020,CO,15
03/13/2020,CO,0
03/14/2020,CO,0
03/15/2020,CO,95
03/16/2020,CO,16
03/17/2020,CO,23
03/18/2020,CO,33
03/19/2020,CO,61
03/20/2020,CO,86
03/21/2020,CO,112
03/22/2020,CO,116
03/23/2020,CO,129
03/24/2020,CO,201
03/25/2020,CO,165
03/26/2020,CO,344
03/27/2020,CO,304
03/28/2020,CO,327
03/29/2020,CO,246
03/30/2020,CO,320
03/31/2020,CO,339
04/01/2020,CO,376
04/02/2020,CO,386
04/03/2020,CO,445
04/04/2020,CO,392
04/05/2020,CO,385
04/06/2020,CO,222
04/07/2020,CO,257
04/08/2020,CO,226
04/09/2020,CO,547
04/10/2020,CO,163
04/11/2020,CO,528
04/12/2020,CO,410
04/13/2020,CO,388
04/14/2020,CO,250
04/15/2020,CO,339
04/16/2020,CO,302
04/17/2020,CO,465
04/18/2020,CO,386
04/19/2020,CO,201
04/20/2020,CO,385
04/21/2020,CO,349
04/22/2020,CO,457
04/23/2020,CO,357
04/24/2020,CO,1002
04/25/2020,CO,684
04/26/2020,CO,482
04/27/2020,CO,448
04/28/2020,CO,440
04/29/2020,CO,437
04/30/2020,CO,507
05/01/2020,CO,486
05/02/2020,CO,452
05/03/2020,CO,414
05/04/2020,CO,344
05/05/2020,CO,439
05/06/2020,CO,421
05/07/2020,CO,580
05/08/2020,CO,475
05/09/2020,CO,523
05/10/2020,CO,316
05/11/2020,CO,103
05/12/2020,CO,356
05/13/2020,CO,310
05/14/2020,CO,361
05/15/2020,CO,369
05/16/2020,CO,380
05/17/2020,CO,286
05/18/2020,CO,298
05/19/2020,CO,304
05/20/2020,CO,353
05/21/2020,CO,369
05/22/2020,CO,334
05/23/2020,CO,482
05/24/2020,CO,200
05/25/2020,CO,89
05/26/2020,CO,277
05/27/2020,CO,492
05/28/2020,CO,126
05/29/2020,CO,492
05/30/2020,CO,485
05/31/2020,CO,280
06/01/2020,CO,199
06/02/2020,CO,211
06/03/2020,CO,272
06/04/2020,CO,300
06/05/2020,CO,255
06/06/2020,CO,233
