date,state,mobility_data_type,mobility_composite
2020-02-04,Alabama,,
2020-02-05,Alabama,,
2020-02-06,Alabama,,
2020-02-07,Alabama,,
2020-02-08,Alabama,observed,-1.3833971781022
2020-02-09,Alabama,observed,-1.29555906192215
2020-02-10,Alabama,observed,-1.12623724440243
2020-02-11,Alabama,observed,-0.903257530551866
2020-02-12,Alabama,observed,-0.653962083309604
2020-02-13,Alabama,observed,-0.402027621434947
2020-02-14,Alabama,observed,-0.165342273416673
2020-02-15,Alabama,observed,0.0455365960472705
2020-02-16,Alabama,observed,0.228359218165231
2020-02-17,Alabama,observed,0.38933635241715
2020-02-18,Alabama,observed,0.53911171320318
2020-02-19,Alabama,observed,0.6885888738016811
2020-02-20,Alabama,observed,0.848123228479366
2020-02-21,Alabama,observed,1.02804071082354
2020-02-22,Alabama,observed,1.23727734988544
2020-02-23,Alabama,observed,1.4846719843863099
2020-02-24,Alabama,observed,1.77744997026376
2020-02-25,Alabama,observed,2.11722602535946
2020-02-26,Alabama,observed,2.4958192735882596
2020-02-27,Alabama,observed,2.8975653446753995
2020-02-28,Alabama,observed,3.30370213740648
2020-02-29,Alabama,observed,3.6941752573375397
2020-03-01,Alabama,observed,4.05032935648744
2020-03-02,Alabama,observed,4.3589026130377695
2020-03-03,Alabama,observed,4.60859272173525
2020-03-04,Alabama,observed,4.7842224890182505
2020-03-05,Alabama,observed,4.86379857258674
2020-03-06,Alabama,observed,4.81604309012946
2020-03-07,Alabama,observed,4.6020406643497695
2020-03-08,Alabama,observed,4.18069195833724
2020-03-09,Alabama,observed,3.5151828363569098
2020-03-10,Alabama,observed,2.57768723114295
2020-03-11,Alabama,observed,1.3517154428026201
2020-03-12,Alabama,observed,-0.166274286344962
2020-03-13,Alabama,observed,-1.9651031999593
2020-03-14,Alabama,observed,-4.0178693648688295
2020-03-15,Alabama,observed,-6.28219400244424
2020-03-16,Alabama,observed,-8.70228684862566
2020-03-17,Alabama,observed,-11.213768488080499
2020-03-18,Alabama,observed,-13.749261274923699
2020-03-19,Alabama,observed,-16.2444607929684
2020-03-20,Alabama,observed,-18.6432353396481
2020-03-21,Alabama,observed,-20.9013521399891
2020-03-22,Alabama,observed,-22.988404919913503
2020-03-23,Alabama,observed,-24.8875382699895
2020-03-24,Alabama,observed,-26.5945199181007
2020-03-25,Alabama,observed,-28.115363777210398
2020-03-26,Alabama,observed,-29.4629012906249
2020-03-27,Alabama,observed,-30.6533746665229
2020-03-28,Alabama,observed,-31.7038994016499
2020-03-29,Alabama,observed,-32.6306246076033
2020-03-30,Alabama,observed,-33.4475415378217
2020-03-31,Alabama,observed,-34.1661577228573
2020-04-01,Alabama,observed,-34.7949988633516
2020-04-02,Alabama,observed,-35.3391264190268
2020-04-03,Alabama,observed,-35.7997884931725
2020-04-04,Alabama,observed,-36.175148658337704
2020-04-05,Alabama,observed,-36.461360339568
2020-04-06,Alabama,observed,-36.653912365310795
2020-04-07,Alabama,observed,-36.749198874007796
2020-04-08,Alabama,observed,-36.745064050489795
2020-04-09,Alabama,observed,-36.641209713845896
2020-04-10,Alabama,observed,-36.4395431973649
2020-04-11,Alabama,observed,-36.14466049853161
2020-04-12,Alabama,observed,-35.7640137432835
2020-04-13,Alabama,observed,-35.307658257058705
2020-04-14,Alabama,observed,-34.7880658872679
2020-04-15,Alabama,observed,-34.217746753629605
2020-04-16,Alabama,observed,-33.6070483687295
2020-04-17,Alabama,observed,-32.9628722267478
2020-04-18,Alabama,observed,-32.2885270473623
2020-04-19,Alabama,observed,-31.583988033683895
2020-04-20,Alabama,observed,-30.846496150689898
2020-04-21,Alabama,observed,-30.0720244022225
2020-04-22,Alabama,observed,-29.255112464039197
2020-04-23,Alabama,observed,-28.390319151964697
2020-04-24,Alabama,observed,-27.474586739740896
2020-04-25,Alabama,observed,-26.5090193225146
2020-04-26,Alabama,observed,-25.498691229080702
2020-04-27,Alabama,observed,-24.452483812006303
2020-04-28,Alabama,observed,-23.3835085713877
2020-04-29,Alabama,observed,-22.3083714900764
2020-04-30,Alabama,observed,-21.246345939854397
2020-05-01,Alabama,observed,-20.2183694118883
2020-05-02,Alabama,observed,-19.2449465316807
2020-05-03,Alabama,observed,-18.3438600549571
2020-05-04,Alabama,observed,-17.5277646741502
2020-05-05,Alabama,observed,-16.8031780941984
2020-05-06,Alabama,observed,-16.1707205184282
2020-05-07,Alabama,observed,-15.626808340247099
2020-05-08,Alabama,observed,-15.1652288184941
2020-05-09,Alabama,observed,-14.7787549374453
2020-05-10,Alabama,observed,-14.459514744660302
2020-05-11,Alabama,observed,-14.197075734640999
2020-05-12,Alabama,observed,-13.979782611790302
2020-05-13,Alabama,observed,-13.7961669544602
2020-05-14,Alabama,observed,-13.6352817414158
2020-05-15,Alabama,observed,-13.487502503629
2020-05-16,Alabama,observed,-13.3465426909364
2020-05-17,Alabama,observed,-13.210207237992
2020-05-18,Alabama,observed,-13.079341576793801
2020-05-19,Alabama,observed,-12.9573773520926
2020-05-20,Alabama,observed,-12.848455641921198
2020-05-21,Alabama,observed,-12.7544179591663
2020-05-22,Alabama,observed,-12.672300832483302
2020-05-23,Alabama,observed,-12.593785597328699
2020-05-24,Alabama,observed,-12.506276610656199
2020-05-25,Alabama,observed,-12.3938200872571
2020-05-26,Alabama,observed,-12.2419518726139
2020-05-27,Alabama,observed,-12.0437152134427
2020-05-28,Alabama,observed,-11.8011912994826
2020-05-29,Alabama,observed,-11.524520872528601
2020-05-30,Alabama,observed,-11.2287660659113
2020-05-31,Alabama,observed,-10.929421957237
2020-06-01,Alabama,observed,-10.638435657204301
2020-06-02,Alabama,observed,-10.3629748420926
2020-06-03,Alabama,observed,-10.1059676272029
2020-06-04,Alabama,observed,-9.866313677822
2020-06-05,Alabama,observed,-9.638892747953449
2020-06-06,Alabama,observed,-9.4167945706502
2020-06-07,Alabama,observed,-9.19288464597787
2020-06-08,Alabama,observed,-8.95963070213924
2020-06-09,Alabama,observed,-8.71264725726617
2020-06-10,Alabama,observed,-8.45353090684877
2020-06-11,Alabama,observed,-8.18972940793288
2020-06-12,Alabama,observed,-7.93224697299101
2020-06-13,Alabama,observed,-7.69349581377551
2020-06-14,Alabama,observed,-7.485128688052431
2020-06-15,Alabama,observed,-7.31448549455629
2020-06-16,Alabama,observed,-7.18498951981295
2020-06-17,Alabama,observed,-7.098757250607599
2020-06-18,Alabama,observed,-7.05738369059512
2020-06-19,Alabama,observed,-7.0613531631959905
2020-06-20,Alabama,observed,-7.10917451703655
2020-06-21,Alabama,observed,-7.1958673464857
2020-06-22,Alabama,observed,-7.310884148393639
2020-06-23,Alabama,observed,-7.441607032621031
2020-06-24,Alabama,observed,-7.578421489689809
2020-06-25,Alabama,observed,-7.717098205307179
2020-06-26,Alabama,observed,-7.8586747077108
2020-06-27,Alabama,observed,-8.00795320721417
2020-06-28,Alabama,observed,-8.169551971646131
2020-06-29,Alabama,observed,-8.34180103103351
2020-06-30,Alabama,observed,-8.515372120207
2020-07-01,Alabama,observed,-8.675849544318469
2020-07-02,Alabama,observed,-8.80608144570747
2020-07-03,Alabama,observed,-8.88826034293135
2020-07-04,Alabama,observed,-8.90761752489608
2020-07-05,Alabama,observed,-8.858449898853811
2020-07-06,Alabama,observed,-8.74612405888667
2020-07-07,Alabama,observed,-8.5842583456003
2020-07-08,Alabama,observed,-8.39292372863152
2020-07-09,Alabama,observed,-8.196461067118321
2020-07-10,Alabama,observed,-8.0199009580361
2020-07-11,Alabama,observed,-7.88641461957865
2020-07-12,Alabama,observed,-7.81423467438488
2020-07-13,Alabama,observed,-7.81216957956896
2020-07-14,Alabama,observed,-7.88103316094912
2020-07-15,Alabama,observed,-8.01647027654259
2020-07-16,Alabama,observed,-8.21057664293676
2020-07-17,Alabama,observed,-8.45321752087546
2020-07-18,Alabama,observed,-8.73318790491314
2020-07-19,Alabama,observed,-9.03790604731881
2020-07-20,Alabama,observed,-9.35153672210687
2020-07-21,Alabama,observed,-9.65718191727972
2020-07-22,Alabama,observed,-9.940866932856
2020-07-23,Alabama,observed,-10.1933416785127
2020-07-24,Alabama,observed,-10.409696552774
2020-07-25,Alabama,observed,-10.5886191317039
2020-07-26,Alabama,observed,-10.730637046370902
2020-07-27,Alabama,observed,-10.8353368361769
2020-07-28,Alabama,observed,-10.9023213303938
2020-07-29,Alabama,observed,-10.9338999640924
2020-07-30,Alabama,observed,-10.936206792695598
2020-07-31,Alabama,observed,-10.918631640616601
2020-08-01,Alabama,observed,-10.892820383562
2020-08-02,Alabama,observed,-10.870088271815801
2020-08-03,Alabama,observed,-10.857346871463001
2020-08-04,Alabama,observed,-10.8568014680124
2020-08-05,Alabama,observed,-10.868046831577802
2020-08-06,Alabama,observed,-10.889792495938599
2020-08-07,Alabama,observed,-10.920768750378402
2020-08-08,Alabama,observed,-10.9604191060734
2020-08-09,Alabama,observed,-11.007592049386199
2020-08-10,Alabama,observed,-11.0576294506653
2020-08-11,Alabama,observed,-11.1034520296161
2020-08-12,Alabama,observed,-11.1387650614565
2020-08-13,Alabama,observed,-11.1597350227509
2020-08-14,Alabama,observed,-11.165227115417599
2020-08-15,Alabama,observed,-11.1570923222224
2020-08-16,Alabama,observed,-11.138986942702598
2020-08-17,Alabama,observed,-11.1129065658108
2020-08-18,Alabama,observed,-11.078812070186501
2020-08-19,Alabama,observed,-11.0364211932204
2020-08-20,Alabama,observed,-10.9857068969365
2020-08-21,Alabama,observed,-10.9269272330201
2020-08-22,Alabama,observed,-10.8604761463431
2020-08-23,Alabama,observed,-10.7851517594467
2020-08-24,Alabama,observed,-10.6955224445601
2020-08-25,Alabama,observed,-10.583184657500599
2020-08-26,Alabama,observed,-10.4405918830694
2020-08-27,Alabama,observed,-10.2642484654026
2020-08-28,Alabama,observed,-10.056241064125901
2020-08-29,Alabama,observed,-9.825183765181551
2020-08-30,Alabama,observed,-9.58549288069075
2020-08-31,Alabama,observed,-9.35470074829263
2020-09-01,Alabama,observed,-9.15215452039742
2020-09-02,Alabama,observed,-8.99756261740468
2020-09-03,Alabama,observed,-8.90790370282822
2020-09-04,Alabama,observed,-8.89431779194431
2020-09-05,Alabama,observed,-8.95952714616242
2020-09-06,Alabama,observed,-9.09749294005191
2020-09-07,Alabama,observed,-9.29451762397557
