,time_value,geo_value,cc,value,sample_size
0,2020-09-08,ak,0,78.7128713,100.0
45,2020-09-09,ak,0,79.4372294,230.0
96,2020-09-10,ak,0,78.09917359999999,362.0
147,2020-09-11,ak,0,79.8507463,468.0
198,2020-09-12,ak,0,79.5454545,593.0
249,2020-09-13,ak,0,80.01383129999999,722.0
300,2020-09-14,ak,0,80.1531213,848.0
351,2020-09-15,ak,0,80.3775744,873.0
402,2020-09-16,ak,0,80.39568349999999,833.0
453,2020-09-17,ak,0,80.9375,799.0
504,2020-09-18,ak,0,80.6633292,798.0
555,2020-09-19,ak,0,81.1528497,771.0
606,2020-09-20,ak,0,80.30104709999999,763.0
657,2020-09-21,ak,0,80.4200542,737.0
708,2020-09-22,ak,0,79.8455056,711.0
759,2020-09-23,ak,0,79.5988935,722.0
810,2020-09-24,ak,0,80.0680272,734.0
861,2020-09-25,ak,0,79.46794,732.0
912,2020-09-26,ak,0,79.4036061,720.0
963,2020-09-27,ak,0,79.6787709,715.0
1014,2020-09-28,ak,0,79.1310541,701.0
1065,2020-09-29,ak,0,79.5903955,707.0
1116,2020-09-30,ak,0,79.8984035,688.0
1167,2020-10-01,ak,0,79.717682,672.0
1218,2020-10-02,ak,0,79.68277950000001,661.0
1269,2020-10-03,ak,0,79.5487627,686.0
1320,2020-10-04,ak,0,79.2159763,675.0
1371,2020-10-05,ak,0,80.8615819,707.0
1422,2020-10-06,ak,0,81.8245125,717.0
1473,2020-10-07,ak,0,82.3026316,759.0
1524,2020-10-08,ak,0,82.1750322,776.0
1575,2020-10-09,ak,0,81.69642859999999,783.0
1626,2020-10-10,ak,0,81.82406209999999,772.0
1677,2020-10-11,ak,0,83.0779055,782.0
1728,2020-10-12,ak,0,82.4183007,764.0
1779,2020-10-13,ak,0,82.0355191,731.0
1830,2020-10-14,ak,0,80.7692308,714.0
1881,2020-10-15,ak,0,81.6713483,711.0
1932,2020-10-16,ak,0,82.7809798,693.0
1983,2020-10-17,ak,0,82.67326729999999,706.0
2034,2020-10-18,ak,0,83.0496454,704.0
2085,2020-10-19,ak,0,83.21529749999999,705.0
2136,2020-10-20,ak,0,82.59362,720.0
2187,2020-10-21,ak,0,83.1690141,709.0
2238,2020-10-22,ak,0,82.66187049999999,694.0
2289,2020-10-23,ak,0,82.1527778,719.0
2340,2020-10-24,ak,0,82.2740113,707.0
2391,2020-10-25,ak,0,81.0672515,683.0
2442,2020-10-26,ak,0,81.29548759999999,686.0
2493,2020-10-27,ak,0,82.03363909999999,653.0
2544,2020-10-28,ak,0,83.04140129999999,627.0
2595,2020-10-29,ak,0,83.22422259999999,610.0
2646,2020-10-30,ak,0,84.430605,561.0
2697,2020-10-31,ak,0,84.7593583,560.0
2748,2020-11-01,ak,0,84.6774194,557.0
2799,2020-11-02,ak,0,83.95390069999999,563.0
2850,2020-11-03,ak,0,84.1337907,582.0
2901,2020-11-04,ak,0,83.82624770000001,540.0
2952,2020-11-05,ak,0,84.0361446,497.0
3003,2020-11-06,ak,0,82.9807692,519.0
3054,2020-11-07,ak,0,83.4429825,455.0
3105,2020-11-08,ak,0,83.69047619999999,419.0
3156,2020-11-09,ak,0,85.0,389.0
3207,2020-11-10,ak,0,84.6604215,426.0
3258,2020-11-11,ak,0,85.5577689,501.0
3309,2020-11-12,ak,0,86.4888124,580.0
3360,2020-11-13,ak,0,87.38095240000001,629.0
3411,2020-11-14,ak,0,86.26220359999999,716.0
3462,2020-11-15,ak,0,87.33421750000001,753.0
3513,2020-11-16,ak,0,87.99237609999999,786.0
3564,2020-11-17,ak,0,88.8392857,783.0
3615,2020-11-18,ak,0,88.3995037,805.0
3666,2020-11-19,ak,0,88.33543509999998,792.0
3717,2020-11-20,ak,0,87.78481009999999,789.0
3768,2020-11-21,ak,0,88.6476427,805.0
3819,2020-11-22,ak,0,88.5159011,848.0
3870,2020-11-23,ak,0,87.86295009999999,860.0
3921,2020-11-24,ak,0,88.4253819,850.0
3972,2020-11-25,ak,0,89.13301659999999,841.0
